audio_id,dataset,device,rms_post_bandpass,peak_post_bandpass
ICBHI_140_2b2_LL,ICBHI,LittC2SE,0.0129635278968735,0.22951340824112026
ICBHI_140_2b2_TC,ICBHI,LittC2SE,0.010222110032270379,0.12005091859565578
ICBHI_140_2b3_LL,ICBHI,LittC2SE,0.013192026142376525,0.275435207869419
ICBHI_140_2b3_TC,ICBHI,LittC2SE,0.019041159936863682,0.4072841413646099
ICBHI_141_1b1_PR,ICBHI,LittC2SE,0.0057490068541960985,0.06659273773616665
ICBHI_141_1b2_AR,ICBHI,LittC2SE,0.0026267003359023134,0.06798901468759727
ICBHI_141_1b2_LR,ICBHI,LittC2SE,0.0026704919158635075,0.019028661566556256
ICBHI_141_1b2_PR,ICBHI,LittC2SE,0.0073279794143159,0.06544098993469089
ICBHI_141_1b2_TC,ICBHI,LittC2SE,0.0010036156732369619,0.016371917968002463
ICBHI_141_1b3_AL,ICBHI,LittC2SE,0.0014768544812439023,0.014303154657370545
ICBHI_141_1b3_AR,ICBHI,LittC2SE,0.00246475228131401,0.018146923082486048
ICBHI_141_1b3_PR,ICBHI,LittC2SE,0.007480755176200902,0.1394694358701704
ICBHI_154_1b3_AL,ICBHI,AKGC417L,0.11471267796732768,0.6714915609872532
ICBHI_154_1b3_AR,ICBHI,AKGC417L,0.018861619098867494,0.13154560704156482
ICBHI_154_1b3_LL,ICBHI,AKGC417L,0.021365343056354996,0.15022538025564253
ICBHI_154_1b3_LR,ICBHI,AKGC417L,0.07987393761218392,0.4784590676689666
ICBHI_154_1b3_PL,ICBHI,AKGC417L,0.06628380634996073,0.49252879625596896
ICBHI_154_1b3_PR,ICBHI,AKGC417L,0.027385362457926866,0.2020457047858475
ICBHI_154_1b3_TC,ICBHI,AKGC417L,0.0011884296288373342,0.006271098595629977
ICBHI_154_2b4_AL,ICBHI,AKGC417L,0.01897641846387221,0.14609049444720268
ICBHI_154_2b4_AR,ICBHI,AKGC417L,0.008020947771343935,0.05186119497472565
ICBHI_154_2b4_LL,ICBHI,AKGC417L,0.011595717712791928,0.061759311520859735
ICBHI_154_2b4_LR,ICBHI,AKGC417L,0.00882378409866031,0.30336274461334417
ICBHI_154_2b4_PL,ICBHI,AKGC417L,0.05381261015204338,1.0538729238255105
ICBHI_154_2b4_PR,ICBHI,AKGC417L,0.01891978622259161,0.17237984000448822
ICBHI_154_2b4_TC,ICBHI,AKGC417L,0.003365886947313808,0.015718685973379894
ICBHI_154_3b3_AL,ICBHI,AKGC417L,0.035047945340270066,0.7033914369592343
ICBHI_154_3b3_AR,ICBHI,AKGC417L,0.04248111660044115,1.1116798887723252
ICBHI_154_3b3_LL,ICBHI,AKGC417L,0.008870438453984464,0.19979296022342402
ICBHI_154_4b4_AL,ICBHI,AKGC417L,0.09597455311617102,1.1090146719552325
ICBHI_154_4b4_AR,ICBHI,AKGC417L,0.01879531066000352,0.5969842002043353
ICBHI_154_4b4_LL,ICBHI,AKGC417L,0.028263977920794343,0.18409900007677163
ICBHI_154_4b4_LR,ICBHI,AKGC417L,0.13997911015044123,0.7672418539749866
ICBHI_154_4b4_PL,ICBHI,AKGC417L,0.050260613800638586,0.4476149690121949
ICBHI_154_4b4_PR,ICBHI,AKGC417L,0.023133054075204978,0.15566763026563227
ICBHI_162_1b2_AL,ICBHI,AKGC417L,0.07324593826260682,0.8278819075067119
ICBHI_162_1b2_AR,ICBHI,AKGC417L,0.07423826799258966,0.7239006928210028
ICBHI_162_1b2_LL,ICBHI,AKGC417L,0.02147341808127702,0.13611740886753831
ICBHI_162_1b2_LR,ICBHI,AKGC417L,0.015425906089687157,1.055338962329992
ICBHI_162_1b2_PL,ICBHI,AKGC417L,0.031255830563020504,0.2920710223324263
ICBHI_162_1b2_PR,ICBHI,AKGC417L,0.03948743443778343,0.25549834380311576
ICBHI_162_1b2_TC,ICBHI,AKGC417L,0.09070719687077766,1.172898876343119
ICBHI_162_2b2_AL,ICBHI,AKGC417L,0.0774400615513724,0.8169217529725721
ICBHI_162_2b2_AR,ICBHI,AKGC417L,0.13788343624978863,1.05708502088422
ICBHI_162_2b2_PL,ICBHI,AKGC417L,0.02431791664956741,0.28147211518298076
ICBHI_162_2b2_PR,ICBHI,AKGC417L,0.02927894278262593,0.512166346882931
ICBHI_162_2b2_TC,ICBHI,AKGC417L,0.05720790426725798,0.8168514568391632
ICBHI_162_2b3_AL,ICBHI,AKGC417L,0.0745289459610962,0.8155496039372903
ICBHI_162_2b3_AR,ICBHI,AKGC417L,0.15957402620304018,1.2723604654160898
ICBHI_162_2b3_LR,ICBHI,AKGC417L,0.01722418008248003,0.347674749931032
ICBHI_162_2b3_PL,ICBHI,AKGC417L,0.14378795635193914,1.3303654363957658
ICBHI_162_2b3_PR,ICBHI,AKGC417L,0.0761304182482482,1.398765406128971
ICBHI_162_2b3_TC,ICBHI,AKGC417L,0.008764812230591102,0.07743099647675951
ICBHI_162_2b4_AL,ICBHI,AKGC417L,0.08689558411769788,0.7532744001493727
ICBHI_162_2b4_AR,ICBHI,AKGC417L,0.18198757935035892,1.1441139583853812
ICBHI_162_2b4_LR,ICBHI,AKGC417L,0.021064199311855738,0.13954799595913533
ICBHI_162_2b4_PL,ICBHI,AKGC417L,0.1993457281091491,1.1049345952485659
ICBHI_162_2b4_PR,ICBHI,AKGC417L,0.09828554064017142,0.8556333908688416
ICBHI_162_2b4_TC,ICBHI,AKGC417L,0.013888300645475493,0.14745804632621876
ICBHI_163_2b2_AL,ICBHI,AKGC417L,0.010279125229179046,0.17499968979147404
ICBHI_163_2b2_AR,ICBHI,AKGC417L,0.021956795108441365,0.11991096374446805
ICBHI_163_2b2_LL,ICBHI,AKGC417L,0.030313724763371925,0.2609916550645818
ICBHI_163_2b2_LR,ICBHI,AKGC417L,0.07261289481358124,0.7552787186469706
ICBHI_163_2b2_PL,ICBHI,AKGC417L,0.059415814702408795,0.9978720405250503
ICBHI_163_2b2_PR,ICBHI,AKGC417L,0.06943625948633265,0.33581793720532416
ICBHI_163_2b2_TC,ICBHI,AKGC417L,0.12460607454526021,0.9706596567974461
ICBHI_163_8b3_AL,ICBHI,AKGC417L,0.02192159418480007,0.1139833917250659
ICBHI_163_8b3_AR,ICBHI,AKGC417L,0.029226454555131745,0.2115197017390285
ICBHI_163_8b3_LL,ICBHI,AKGC417L,0.03368539318106524,0.24488208682315127
ICBHI_163_8b3_LR,ICBHI,AKGC417L,0.028405550096586105,0.5107551056416515
ICBHI_163_8b3_PL,ICBHI,AKGC417L,0.012643360972296992,0.11477332076457919
ICBHI_163_8b3_PR,ICBHI,AKGC417L,0.018227555793267698,0.13866498158232843
ICBHI_164_1b1_LL,ICBHI,Meditron,0.025304732004715585,0.31629903975438334
ICBHI_167_1b1_AL,ICBHI,Meditron,0.01402746574380276,0.127319381811973
ICBHI_167_1b1_PR,ICBHI,Meditron,0.008762412701887176,0.09817869800264506
ICBHI_171_1b1_AL,ICBHI,Meditron,0.017236345620747908,0.15273714812543476
ICBHI_177_1b2_AL,ICBHI,AKGC417L,0.014258484803136504,0.12413755615989971
ICBHI_177_1b2_AR,ICBHI,AKGC417L,0.019343315232702055,0.1627469354427224
ICBHI_177_1b2_LR,ICBHI,AKGC417L,0.016257301204561456,0.1643339918306
ICBHI_177_1b2_PL,ICBHI,AKGC417L,0.02722034341243139,0.3231884021414684
ICBHI_177_1b2_PR,ICBHI,AKGC417L,0.0310945084849031,0.45046711315510507
ICBHI_177_1b2_TC,ICBHI,AKGC417L,0.006652569338689833,0.13830391591484173
ICBHI_177_1b4_AL,ICBHI,AKGC417L,0.04448367249554762,0.5503579875127499
ICBHI_177_1b4_AR,ICBHI,AKGC417L,0.06795334966772315,0.6507003070805029
ICBHI_177_1b4_LR,ICBHI,AKGC417L,0.08805331116401952,1.1135683701161425
ICBHI_177_1b4_PL,ICBHI,AKGC417L,0.052632491363060294,0.7002772997039322
ICBHI_177_1b4_PR,ICBHI,AKGC417L,0.032142737983390235,0.5352443208247688
ICBHI_177_1b4_TC,ICBHI,AKGC417L,0.012140123979308914,0.18504757938355682
ICBHI_177_2b4_AL,ICBHI,AKGC417L,0.0787892340569078,1.2620329313345682
ICBHI_177_2b4_LR,ICBHI,AKGC417L,0.029437337921391225,0.2452291766231345
ICBHI_177_2b4_PL,ICBHI,AKGC417L,0.03733166297518965,0.3942175803603496
ICBHI_177_2b4_PR,ICBHI,AKGC417L,0.04387944810579693,0.41568177279894203
ICBHI_177_2b4_TC,ICBHI,AKGC417L,0.09325232863363743,1.1819933818064714
ICBHI_178_1b2_AL,ICBHI,AKGC417L,0.03660235843542491,1.0691221293181812
ICBHI_178_1b2_AR,ICBHI,AKGC417L,0.04426976425040789,1.1214492533126283
ICBHI_178_1b2_LR,ICBHI,AKGC417L,0.06358195946920984,1.2087087464983448
ICBHI_178_1b2_PL,ICBHI,AKGC417L,0.06552878130668867,0.933699937326969
ICBHI_178_1b2_PR,ICBHI,AKGC417L,0.012573706629722604,0.6554314153075171
ICBHI_178_1b2_TC,ICBHI,AKGC417L,0.12580249563806287,1.3036074880359512
ICBHI_178_1b3_AL,ICBHI,AKGC417L,0.023777978830913718,0.43650469792331104
ICBHI_178_1b3_AR,ICBHI,AKGC417L,0.016095671791006787,0.15711103547359573
ICBHI_178_1b3_LR,ICBHI,AKGC417L,0.0669823877968967,1.1023244060851063
ICBHI_178_1b3_PL,ICBHI,AKGC417L,0.08774164765705099,1.0647611947556994
ICBHI_178_1b3_PR,ICBHI,AKGC417L,0.010511586261654908,0.3784943721104645
ICBHI_178_1b3_TC,ICBHI,AKGC417L,0.13478921935496319,1.224657176663825
ICBHI_178_1b6_AL,ICBHI,AKGC417L,0.020763304546289694,0.27122445610683776
ICBHI_178_1b6_AR,ICBHI,AKGC417L,0.05305500324757738,1.1404325533786264
ICBHI_178_1b6_LL,ICBHI,AKGC417L,0.0315621579449153,0.9080358014553668
ICBHI_178_1b6_LR,ICBHI,AKGC417L,0.04824199711391903,0.7040713210328186
ICBHI_178_1b6_PL,ICBHI,AKGC417L,0.19696120555069427,1.307242558197526
ICBHI_178_1b6_PR,ICBHI,AKGC417L,0.04447904886225428,0.750930031985841
ICBHI_178_1b6_TC,ICBHI,AKGC417L,0.07952342209966683,0.7531659840774232
ICBHI_178_2b2_AL,ICBHI,AKGC417L,0.019213511738701443,1.0233212885252239
ICBHI_178_2b2_AR,ICBHI,AKGC417L,0.05570723124779244,1.1619841031565206
ICBHI_178_2b2_LR,ICBHI,AKGC417L,0.014647629806990095,0.6555525533674302
ICBHI_178_2b2_PR,ICBHI,AKGC417L,0.02551951046909796,1.0319492320399302
ICBHI_178_2b2_TC,ICBHI,AKGC417L,0.05079119126697451,1.1980171585541624
ICBHI_183_1b1_PL,ICBHI,Meditron,0.004475667870436617,0.08999730607478378
ICBHI_183_1b1_TC,ICBHI,Meditron,0.009312356033850123,0.10926124653234658
ICBHI_184_1b1_AR,ICBHI,Meditron,0.004836927957018453,0.052838798549535305
ICBHI_185_1b1_AL,ICBHI,Litt3200,0.03011932960601849,0.5100465669444683
ICBHI_185_1b1_AR,ICBHI,Litt3200,0.07771884912425712,0.6087881272645785
ICBHI_185_1b1_LL,ICBHI,Litt3200,0.04005738617551928,0.39024086211012676
ICBHI_185_1b1_LR,ICBHI,Litt3200,0.0518571347221208,0.4582353681803109
ICBHI_185_1b1_PL,ICBHI,Litt3200,0.0427435664487956,0.48466747775723007
ICBHI_185_1b1_PR,ICBHI,Litt3200,0.06286212182790062,0.43770728529191427
ICBHI_186_2b2_AL,ICBHI,AKGC417L,0.023042821689593884,0.18368588560950344
ICBHI_186_2b2_AR,ICBHI,AKGC417L,0.043346302736731186,0.4450902564116964
ICBHI_186_2b2_LR,ICBHI,AKGC417L,0.018888305776785224,0.171307423166366
ICBHI_186_2b2_PL,ICBHI,AKGC417L,0.06308295189261383,0.6980635248644285
ICBHI_186_2b2_PR,ICBHI,AKGC417L,0.03883808491719154,0.5645214553161795
ICBHI_186_2b2_TC,ICBHI,AKGC417L,0.1145978968757338,1.2974469694748998
ICBHI_186_2b3_AL,ICBHI,AKGC417L,0.02377338030691884,0.19064350790911622
ICBHI_186_2b3_AR,ICBHI,AKGC417L,0.04469547744017949,1.0136602538579171
ICBHI_186_2b3_LR,ICBHI,AKGC417L,0.017808212175266017,0.17896661878418468
ICBHI_186_2b3_PL,ICBHI,AKGC417L,0.06518168454505838,0.5962619848908113
ICBHI_186_2b3_PR,ICBHI,AKGC417L,0.03981112744383972,0.6061699147011046
ICBHI_186_2b3_TC,ICBHI,AKGC417L,0.07385111222155832,1.100165026142523
ICBHI_186_2b4_AL,ICBHI,AKGC417L,0.079673311983299,0.586257208734422
ICBHI_186_2b4_AR,ICBHI,AKGC417L,0.052903036856317365,0.6507362834090777
ICBHI_186_2b4_LR,ICBHI,AKGC417L,0.019266749088917613,0.18860148430097745
ICBHI_186_2b4_PL,ICBHI,AKGC417L,0.07132017832759883,0.778634571100101
ICBHI_186_2b4_PR,ICBHI,AKGC417L,0.044323652686236135,0.5560154098859644
ICBHI_186_2b4_TC,ICBHI,AKGC417L,0.09700732091836493,1.2491009638127824
ICBHI_186_3b3_AL,ICBHI,AKGC417L,0.04602822469395872,0.28302173951510745
ICBHI_186_3b3_AR,ICBHI,AKGC417L,0.040319582106551885,0.2875153156223087
ICBHI_186_3b3_LR,ICBHI,AKGC417L,0.01338927714115604,0.1869547919404504
ICBHI_186_3b3_PL,ICBHI,AKGC417L,0.07398321440309333,0.641537076506359
ICBHI_186_3b3_PR,ICBHI,AKGC417L,0.03506874198817096,0.2626755741730969
ICBHI_186_3b3_TC,ICBHI,AKGC417L,0.10687303236655386,1.3248258390717704
ICBHI_188_1b1_AL,ICBHI,Meditron,0.02292040252878114,0.16394768288206243
ICBHI_188_1b1_AR,ICBHI,Meditron,0.014551874579141812,0.11191878516068378
ICBHI_188_1b1_PL,ICBHI,Meditron,0.012311218824611166,0.15653145322766016
ICBHI_188_1b1_TC,ICBHI,Meditron,0.008515745112124452,0.3191534379712647
ICBHI_205_1b3_AL,ICBHI,AKGC417L,0.05070952777783878,0.3806482374068655
ICBHI_205_1b3_AR,ICBHI,AKGC417L,0.1026504677381555,1.1383726985622984
ICBHI_205_1b3_LL,ICBHI,AKGC417L,0.01335557680052272,0.1434891529141727
ICBHI_205_1b3_LR,ICBHI,AKGC417L,0.07037425906735935,0.5638096207299823
ICBHI_205_1b3_PL,ICBHI,AKGC417L,0.05912657229994738,0.45680920291972194
ICBHI_205_1b3_PR,ICBHI,AKGC417L,0.021379866169717716,0.17757543288448985
ICBHI_205_2b2_PR,ICBHI,AKGC417L,0.016825777628382683,0.14013126431258155
ICBHI_205_2b3_AL,ICBHI,AKGC417L,0.05267552496189198,0.3427770035109017
ICBHI_205_2b3_AR,ICBHI,AKGC417L,0.06171112225385274,0.9175658652025958
ICBHI_205_2b3_LL,ICBHI,AKGC417L,0.050693576727613154,0.42676811886259974
ICBHI_205_2b4_PL,ICBHI,AKGC417L,0.04962365501507345,0.5056530210184003
ICBHI_205_3b4_AL,ICBHI,AKGC417L,0.07200604316370081,0.6827306935150999
ICBHI_205_3b4_AR,ICBHI,AKGC417L,0.12587095224322248,1.1608799111534942
ICBHI_205_3b4_PL,ICBHI,AKGC417L,0.028847838715567606,0.25078929247179826
ICBHI_205_3b4_PR,ICBHI,AKGC417L,0.06231758038394969,0.5536953420053938
ICBHI_205_4b2_AL,ICBHI,AKGC417L,0.1459179589325835,0.9447345657570381
ICBHI_205_4b2_AR,ICBHI,AKGC417L,0.08474123300627287,1.3320690014514769
ICBHI_205_4b2_LR,ICBHI,AKGC417L,0.14584572841513874,1.0183875182323707
ICBHI_205_4b2_PL,ICBHI,AKGC417L,0.018624264835874812,0.17876133851641718
ICBHI_205_4b2_PR,ICBHI,AKGC417L,0.06981768205314363,0.5970569684087967
ICBHI_223_1b1_AL,ICBHI,Meditron,0.019888082536466987,0.42614456166153214
ICBHI_223_1b1_AR,ICBHI,Meditron,0.029281573695709367,0.5174911512989131
ICBHI_223_1b1_LL,ICBHI,Meditron,0.020986381218159093,0.7495197477034816
ICBHI_223_1b1_LR,ICBHI,Meditron,0.02214908532280138,1.033814304450904
ICBHI_223_1b1_PL,ICBHI,Meditron,0.02019099078333494,0.7372138474211143
ICBHI_223_1b1_PR,ICBHI,Meditron,0.017436269339798128,0.6110136365334768
ICBHI_224_1b1_TC,ICBHI,Meditron,0.01933417954550579,0.1758589761975799
ICBHI_224_1b2_AL,ICBHI,Meditron,0.009188522380998376,0.34657976294908255
FRAIWAN_F009_Bell,FRAIWAN,Litt3200,0.012031345689626119,0.20914485508057476
FRAIWAN_F009_Extended,FRAIWAN,Litt3200,0.015701587566110224,0.26979996135448503
FRAIWAN_F016_Bell,FRAIWAN,Litt3200,0.037159407389878316,0.5348473084712084
FRAIWAN_F016_Diaphragm,FRAIWAN,Litt3200,0.040787179027805674,0.6210695352910653
FRAIWAN_F016_Extended,FRAIWAN,Litt3200,0.040504880006911215,0.7322422086335849
FRAIWAN_F019_Bell,FRAIWAN,Litt3200,0.00602350188921331,0.1477029735254312
FRAIWAN_F019_Diaphragm,FRAIWAN,Litt3200,0.007543618657515012,0.22814564628477363
FRAIWAN_F019_Extended,FRAIWAN,Litt3200,0.008421474498133562,0.23087535152165486
FRAIWAN_F021_Bell,FRAIWAN,Litt3200,0.016437533351101548,0.2044684903002706
FRAIWAN_F021_Diaphragm,FRAIWAN,Litt3200,0.017775268215794567,0.35310058053799365
FRAIWAN_F021_Extended,FRAIWAN,Litt3200,0.022972082412973823,0.40936944769526407
FRAIWAN_F031_Bell,FRAIWAN,Litt3200,0.027254764111393735,0.25500455807931177
FRAIWAN_F031_Diaphragm,FRAIWAN,Litt3200,0.03880241084222877,0.36804147706040335
FRAIWAN_F031_Extended,FRAIWAN,Litt3200,0.04497285066818036,0.43525568685410176
FRAIWAN_F036_Bell,FRAIWAN,Litt3200,0.020163366049271377,0.4166106168276107
FRAIWAN_F036_Diaphragm,FRAIWAN,Litt3200,0.05398845678871554,0.90649689305257
FRAIWAN_F036_Extended,FRAIWAN,Litt3200,0.03657914260341058,0.7657119285605554
FRAIWAN_F040_Bell,FRAIWAN,Litt3200,0.02368607389163964,0.4059534300690475
FRAIWAN_F040_Diaphragm,FRAIWAN,Litt3200,0.034107671307621754,0.5695537241172921
FRAIWAN_F040_Extended,FRAIWAN,Litt3200,0.033710685464468794,0.5327454540006078
FRAIWAN_F048_Bell,FRAIWAN,Litt3200,0.018033898652244487,0.20152008962268542
FRAIWAN_F048_Diaphragm,FRAIWAN,Litt3200,0.020903493660455918,0.46233078838372393
FRAIWAN_F048_Extended,FRAIWAN,Litt3200,0.024807949823197988,0.7127616763161932
FRAIWAN_F049_Bell,FRAIWAN,Litt3200,0.01512602656706599,0.3555010431467601
FRAIWAN_F049_Diaphragm,FRAIWAN,Litt3200,0.015039504468390518,0.4967805750515879
FRAIWAN_F049_Extended,FRAIWAN,Litt3200,0.016459562833545556,0.5452470516031689
FRAIWAN_F052_Bell,FRAIWAN,Litt3200,0.017206838375104935,0.12639407105823647
FRAIWAN_F052_Diaphragm,FRAIWAN,Litt3200,0.028672139840757855,0.4198420150510698
FRAIWAN_F052_Extended,FRAIWAN,Litt3200,0.028395301347385913,0.35562614153560457
FRAIWAN_F059_Bell,FRAIWAN,Litt3200,0.02121936237280698,0.4842902054149112
FRAIWAN_F059_Diaphragm,FRAIWAN,Litt3200,0.018273355648262005,0.7244360703256258
FRAIWAN_F059_Extended,FRAIWAN,Litt3200,0.020529363462626387,0.7071375475616609
FRAIWAN_F063_Bell,FRAIWAN,Litt3200,0.03398818594785097,0.4313070472819611
FRAIWAN_F063_Diaphragm,FRAIWAN,Litt3200,0.04019019386940005,0.9627217868590145
FRAIWAN_F063_Extended,FRAIWAN,Litt3200,0.05280920004803262,1.004067340681747
FRAIWAN_F064_Bell,FRAIWAN,Litt3200,0.04625659660007566,0.5253993605679415
FRAIWAN_F064_Diaphragm,FRAIWAN,Litt3200,0.088838464323672,0.9445743470980128
FRAIWAN_F064_Extended,FRAIWAN,Litt3200,0.07807832844999593,0.9728915644406411
FRAIWAN_F065_Bell,FRAIWAN,Litt3200,0.007409180001706407,0.17921579214876054
FRAIWAN_F065_Diaphragm,FRAIWAN,Litt3200,0.009396032576944267,0.19837335478750145
FRAIWAN_F065_Extended,FRAIWAN,Litt3200,0.009927184526851363,0.24709017587871548
FRAIWAN_F071_Bell,FRAIWAN,Litt3200,0.012523079046437976,0.2896069114904012
FRAIWAN_F071_Diaphragm,FRAIWAN,Litt3200,0.01515524110759052,0.3910855077772437
FRAIWAN_F071_Extended,FRAIWAN,Litt3200,0.01772535368039146,0.47949867988055983
FRAIWAN_F077_Bell,FRAIWAN,Litt3200,0.009738038144912982,0.17804348119221958
FRAIWAN_F077_Diaphragm,FRAIWAN,Litt3200,0.016617762689626243,0.3086809449442299
FRAIWAN_F085_Bell,FRAIWAN,Litt3200,0.02526868661409064,0.45835768345779054
FRAIWAN_F085_Diaphragm,FRAIWAN,Litt3200,0.03403449124157968,0.6962100153165769
FRAIWAN_F085_Extended,FRAIWAN,Litt3200,0.03559642275720134,0.770499293572922
FRAIWAN_F091_Bell,FRAIWAN,Litt3200,0.026183463936801,0.20297388158982357
FRAIWAN_F091_Diaphragm,FRAIWAN,Litt3200,0.036059418800695305,0.2722677944046876
FRAIWAN_F091_Extended,FRAIWAN,Litt3200,0.040076112709926885,0.33106294057055907
FRAIWAN_F095_Bell,FRAIWAN,Litt3200,0.011440421265634564,0.11255331735491425
FRAIWAN_F095_Diaphragm,FRAIWAN,Litt3200,0.01568601340750886,0.3108284822946963
FRAIWAN_F095_Extended,FRAIWAN,Litt3200,0.01742052972078032,0.24271789818348904
FRAIWAN_F096_Bell,FRAIWAN,Litt3200,0.010108576430908938,0.23180405164263995
FRAIWAN_F096_Diaphragm,FRAIWAN,Litt3200,0.01618115848369894,0.5598101334526211
FRAIWAN_F096_Extended,FRAIWAN,Litt3200,0.016761709416972137,0.47676203872364575
FRAIWAN_F104_Bell,FRAIWAN,Litt3200,0.014499229176449288,0.19095966961693478
FRAIWAN_F104_Diaphragm,FRAIWAN,Litt3200,0.019764284407297248,0.31991582097444754
FRAIWAN_F104_Extended,FRAIWAN,Litt3200,0.021940688724644615,0.3024693902609197
FRAIWAN_F110_Bell,FRAIWAN,Litt3200,0.00695193888929055,0.10878640912069257
FRAIWAN_F110_Diaphragm,FRAIWAN,Litt3200,0.01403034749990792,0.23293487331671553
FRAIWAN_F110_Extended,FRAIWAN,Litt3200,0.010662723136055489,0.18756990688758893
